Time,Total_Cells,Gen_0_Count,Gen_0_Percentage,Gen_1_Count,Gen_1_Percentage,Gen_2_Count,Gen_2_Percentage,Gen_3_Count,Gen_3_Percentage,Gen_4_Count,Gen_4_Percentage,Gen_5_Count,Gen_5_Percentage,Gen_6_Count,Gen_6_Percentage,Gen_7_Count,Gen_7_Percentage,Gen_8_Count,Gen_8_Percentage,Gen_9_Count,Gen_9_Percentage,Gen_10_Count,Gen_10_Percentage,Gen_11_Count,Gen_11_Percentage,Gen_12_Count,Gen_12_Percentage,Gen_13_Count,Gen_13_Percentage,Gen_14_Count,Gen_14_Percentage,Gen_15_Count,Gen_15_Percentage,Gen_16_Count,Gen_16_Percentage,Gen_17_Count,Gen_17_Percentage,Gen_18_Count,Gen_18_Percentage,Gen_19_Count,Gen_19_Percentage,Gen_20_Count,Gen_20_Percentage,Gen_21_Count,Gen_21_Percentage
14,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
16,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
18,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
19,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21,4,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
22,5,1,20.0,2,40.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
23,6,1,16.67,2,33.33,1,16.67,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
24,7,1,14.29,2,28.57,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
25,7,1,14.29,2,28.57,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
26,8,1,12.5,2,25.0,2,25.0,2,25.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
27,11,1,9.09,3,27.27,3,27.27,2,18.18,2,18.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
28,12,1,8.33,3,25.0,3,25.0,3,25.0,2,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
29,13,1,7.69,3,23.08,3,23.08,3,23.08,2,15.38,1,7.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
30,13,1,7.69,3,23.08,3,23.08,3,23.08,2,15.38,1,7.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
31,13,1,7.69,3,23.08,3,23.08,3,23.08,2,15.38,1,7.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
32,15,1,6.67,3,20.0,3,20.0,4,26.67,3,20.0,1,6.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
33,18,1,5.56,3,16.67,4,22.22,5,27.78,3,16.67,2,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
34,20,1,5.0,3,15.0,4,20.0,5,25.0,4,20.0,2,10.0,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
35,22,1,4.55,3,13.64,4,18.18,6,27.27,4,18.18,3,13.64,1,4.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
36,22,1,4.55,3,13.64,4,18.18,6,27.27,4,18.18,3,13.64,1,4.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
37,25,1,4.0,3,12.0,4,16.0,7,28.0,4,16.0,4,16.0,1,4.0,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
38,26,1,3.85,3,11.54,4,15.38,7,26.92,5,19.23,4,15.38,1,3.85,1,3.85,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39,28,1,3.57,3,10.71,4,14.29,7,25.0,7,25.0,4,14.29,1,3.57,1,3.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
40,29,1,3.45,3,10.34,4,13.79,7,24.14,7,24.14,4,13.79,2,6.9,1,3.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
41,29,1,3.45,3,10.34,4,13.79,7,24.14,7,24.14,4,13.79,2,6.9,1,3.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
42,31,1,3.23,3,9.68,4,12.9,7,22.58,8,25.81,5,16.13,2,6.45,1,3.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
43,34,1,2.94,3,8.82,4,11.76,7,20.59,9,26.47,6,17.65,2,5.88,1,2.94,1,2.94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
44,39,1,2.56,3,7.69,5,12.82,8,20.51,12,30.77,6,15.38,2,5.13,1,2.56,1,2.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
45,40,1,2.5,3,7.5,5,12.5,8,20.0,12,30.0,6,15.0,2,5.0,1,2.5,1,2.5,1,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
46,46,1,2.17,4,8.7,6,13.04,8,17.39,12,26.09,9,19.57,3,6.52,1,2.17,1,2.17,1,2.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
47,51,1,1.96,4,7.84,6,11.76,9,17.65,12,23.53,11,21.57,4,7.84,1,1.96,2,3.92,1,1.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
48,55,1,1.82,4,7.27,6,10.91,9,16.36,13,23.64,14,25.45,4,7.27,1,1.82,2,3.64,1,1.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
49,58,1,1.72,4,6.9,6,10.34,10,17.24,13,22.41,15,25.86,4,6.9,1,1.72,2,3.45,1,1.72,1,1.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
50,63,1,1.59,4,6.35,6,9.52,10,15.87,15,23.81,16,25.4,5,7.94,2,3.17,2,3.17,1,1.59,1,1.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
51,64,1,1.56,4,6.25,6,9.38,10,15.62,15,23.44,16,25.0,5,7.81,3,4.69,2,3.12,1,1.56,1,1.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52,73,1,1.37,4,5.48,7,9.59,12,16.44,16,21.92,17,23.29,7,9.59,3,4.11,2,2.74,2,2.74,1,1.37,1,1.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
53,79,1,1.27,4,5.06,7,8.86,12,15.19,19,24.05,17,21.52,10,12.66,3,3.8,2,2.53,2,2.53,1,1.27,1,1.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
54,85,1,1.18,4,4.71,8,9.41,12,14.12,20,23.53,18,21.18,11,12.94,4,4.71,2,2.35,2,2.35,2,2.35,1,1.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
55,89,1,1.12,4,4.49,8,8.99,12,13.48,21,23.6,19,21.35,12,13.48,4,4.49,2,2.25,2,2.25,2,2.25,2,2.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
56,94,1,1.06,4,4.26,8,8.51,15,15.96,22,23.4,19,20.21,12,12.77,4,4.26,3,3.19,2,2.13,2,2.13,2,2.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
57,102,1,0.98,5,4.9,9,8.82,16,15.69,23,22.55,22,21.57,13,12.75,4,3.92,3,2.94,2,1.96,2,1.96,2,1.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
58,115,1,0.87,5,4.35,10,8.7,16,13.91,26,22.61,25,21.74,15,13.04,4,3.48,5,4.35,3,2.61,2,1.74,3,2.61,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
59,121,1,0.83,5,4.13,10,8.26,17,14.05,27,22.31,26,21.49,16,13.22,5,4.13,5,4.13,3,2.48,2,1.65,4,3.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
60,128,1,0.78,5,3.91,10,7.81,18,14.06,27,21.09,29,22.66,19,14.84,5,3.91,5,3.91,3,2.34,2,1.56,4,3.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
61,141,1,0.71,5,3.55,10,7.09,21,14.89,28,19.86,33,23.4,20,14.18,7,4.96,5,3.55,3,2.13,2,1.42,5,3.55,1,0.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,148,1,0.68,5,3.38,10,6.76,21,14.19,28,18.92,37,25.0,22,14.86,7,4.73,5,3.38,3,2.03,2,1.35,5,3.38,2,1.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
63,158,1,0.63,5,3.16,11,6.96,22,13.92,32,20.25,37,23.42,24,15.19,8,5.06,5,3.16,4,2.53,2,1.27,5,3.16,2,1.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
64,164,1,0.61,5,3.05,12,7.32,22,13.41,32,19.51,39,23.78,25,15.24,8,4.88,5,3.05,5,3.05,2,1.22,5,3.05,3,1.83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
65,174,1,0.57,5,2.87,12,6.9,23,13.22,34,19.54,41,23.56,27,15.52,9,5.17,5,2.87,7,4.02,2,1.15,5,2.87,3,1.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
66,188,1,0.53,5,2.66,12,6.38,25,13.3,35,18.62,45,23.94,30,15.96,12,6.38,5,2.66,7,3.72,2,1.06,5,2.66,4,2.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
67,204,1,0.49,5,2.45,13,6.37,27,13.24,37,18.14,46,22.55,35,17.16,16,7.84,5,2.45,7,3.43,2,0.98,5,2.45,5,2.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
68,215,1,0.47,5,2.33,13,6.05,29,13.49,37,17.21,48,22.33,39,18.14,18,8.37,6,2.79,7,3.26,2,0.93,5,2.33,5,2.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
69,233,1,0.43,5,2.15,15,6.44,29,12.45,39,16.74,51,21.89,41,17.6,24,10.3,8,3.43,7,3.0,2,0.86,6,2.58,5,2.15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
70,253,1,0.4,5,1.98,15,5.93,30,11.86,45,17.79,53,20.95,48,18.97,24,9.49,9,3.56,7,2.77,4,1.58,6,2.37,6,2.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
71,271,1,0.37,6,2.21,15,5.54,31,11.44,46,16.97,56,20.66,52,19.19,28,10.33,11,4.06,7,2.58,4,1.48,6,2.21,6,2.21,2,0.74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
72,289,1,0.35,6,2.08,15,5.19,36,12.46,48,16.61,57,19.72,59,20.42,29,10.03,12,4.15,7,2.42,5,1.73,6,2.08,6,2.08,2,0.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
73,312,1,0.32,6,1.92,15,4.81,36,11.54,51,16.35,62,19.87,66,21.15,32,10.26,16,5.13,8,2.56,5,1.6,6,1.92,6,1.92,2,0.64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
74,336,1,0.3,6,1.79,17,5.06,36,10.71,53,15.77,67,19.94,73,21.73,34,10.12,16,4.76,11,3.27,7,2.08,6,1.79,6,1.79,3,0.89,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
75,361,1,0.28,6,1.66,18,4.99,37,10.25,56,15.51,69,19.11,80,22.16,37,10.25,19,5.26,12,3.32,9,2.49,6,1.66,8,2.22,3,0.83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76,391,1,0.26,6,1.53,18,4.6,38,9.72,59,15.09,74,18.93,86,21.99,44,11.25,24,6.14,13,3.32,9,2.3,6,1.53,9,2.3,4,1.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
77,418,1,0.24,7,1.67,18,4.31,40,9.57,61,14.59,79,18.9,93,22.25,47,11.24,30,7.18,13,3.11,10,2.39,6,1.44,9,2.15,4,0.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
78,456,1,0.22,7,1.54,18,3.95,44,9.65,64,14.04,90,19.74,96,21.05,55,12.06,35,7.68,15,3.29,10,2.19,7,1.54,9,1.97,5,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
79,494,1,0.2,7,1.42,19,3.85,45,9.11,69,13.97,95,19.23,107,21.66,63,12.75,37,7.49,18,3.64,11,2.23,7,1.42,10,2.02,5,1.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
80,529,1,0.19,7,1.32,19,3.59,46,8.7,75,14.18,99,18.71,115,21.74,71,13.42,38,7.18,21,3.97,13,2.46,9,1.7,10,1.89,5,0.95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
81,560,1,0.18,7,1.25,20,3.57,49,8.75,75,13.39,101,18.04,124,22.14,76,13.57,44,7.86,23,4.11,14,2.5,10,1.79,11,1.96,5,0.89,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
82,611,1,0.16,7,1.15,21,3.44,49,8.02,76,12.44,108,17.68,132,21.6,87,14.24,52,8.51,29,4.75,15,2.45,11,1.8,13,2.13,9,1.47,1,0.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
83,655,1,0.15,7,1.07,22,3.36,51,7.79,80,12.21,113,17.25,137,20.92,98,14.96,58,8.85,34,5.19,17,2.6,12,1.83,14,2.14,9,1.37,2,0.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
84,708,1,0.14,7,0.99,22,3.11,52,7.34,85,12.01,123,17.37,149,21.05,107,15.11,66,9.32,37,5.23,21,2.97,12,1.69,14,1.98,10,1.41,2,0.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
85,759,1,0.13,7,0.92,22,2.9,53,6.98,91,11.99,126,16.6,163,21.48,116,15.28,76,10.01,41,5.4,22,2.9,13,1.71,15,1.98,11,1.45,2,0.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
86,818,1,0.12,7,0.86,23,2.81,53,6.48,95,11.61,133,16.26,173,21.15,137,16.75,84,10.27,45,5.5,22,2.69,15,1.83,16,1.96,12,1.47,2,0.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
87,884,1,0.11,7,0.79,23,2.6,56,6.33,97,10.97,141,15.95,181,20.48,154,17.42,93,10.52,51,5.77,27,3.05,17,1.92,19,2.15,14,1.58,3,0.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
88,946,1,0.11,8,0.85,23,2.43,60,6.34,100,10.57,146,15.43,187,19.77,169,17.86,101,10.68,61,6.45,30,3.17,19,2.01,20,2.11,15,1.59,6,0.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
89,1020,1,0.1,8,0.78,24,2.35,60,5.88,107,10.49,155,15.2,198,19.41,182,17.84,117,11.47,68,6.67,35,3.43,22,2.16,21,2.06,16,1.57,6,0.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
90,1097,1,0.09,8,0.73,24,2.19,61,5.56,112,10.21,167,15.22,214,19.51,195,17.78,131,11.94,71,6.47,40,3.65,26,2.37,21,1.91,20,1.82,6,0.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
91,1171,1,0.09,8,0.68,24,2.05,64,5.47,116,9.91,172,14.69,229,19.56,209,17.85,148,12.64,76,6.49,44,3.76,28,2.39,24,2.05,22,1.88,6,0.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
92,1273,1,0.08,8,0.63,26,2.04,67,5.26,124,9.74,184,14.45,251,19.72,225,17.67,160,12.57,88,6.91,47,3.69,31,2.44,27,2.12,26,2.04,7,0.55,1,0.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
93,1364,1,0.07,8,0.59,26,1.91,69,5.06,133,9.75,196,14.37,262,19.21,245,17.96,171,12.54,100,7.33,52,3.81,33,2.42,32,2.35,27,1.98,8,0.59,1,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
94,1461,1,0.07,8,0.55,27,1.85,73,5.0,136,9.31,212,14.51,267,18.28,263,18.0,194,13.28,107,7.32,62,4.24,35,2.4,33,2.26,29,1.98,12,0.82,2,0.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
95,1555,1,0.06,8,0.51,28,1.8,73,4.69,140,9.0,221,14.21,280,18.01,286,18.39,212,13.63,117,7.52,68,4.37,40,2.57,34,2.19,32,2.06,13,0.84,2,0.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
